Date,house_price_index,new_private_house_owned,home_supply,recession_indicator,federal_rate,real_income,consumption_price_index,gdp,treasury_maturity,period
2006-01-01,180.828,2273,5.9,0,4.29,13214.527,83.534,16353.835,0.08,Pre-2008
2006-02-01,181.5,2119,6.1,0,4.49,13283.182,83.584,16353.835,0.0294736842105263,Pre-2008
2006-03-01,182.749,1969,5.1,0,4.59,13340.072,83.746,16353.835,0.0960869565217391,Pre-2008
2006-04-01,183.648,1821,5.6,0,4.79,13347.045,84.135,16396.151,0.2689473684210526,Pre-2008
2006-05-01,184.38,1942,5.5,0,4.94,13336.874,84.361,16396.151,0.2736363636363636,Pre-2008
2006-06-01,184.547,1802,5.8,0,4.99,13353.303,84.569,16396.151,0.1886363636363636,Pre-2008
2006-07-01,184.607,1737,6.9,0,5.24,13342.387,84.858,16420.738,0.011,Pre-2008
2006-08-01,184.404,1650,6.5,0,5.25,13329.621,85.125,16420.738,-0.2139130434782608,Pre-2008
2006-09-01,184.198,1720,7.0,0,5.25,13408.301,84.902,16420.738,-0.211,Pre-2008
2006-10-01,184.053,1491,7.5,0,5.25,13479.95,84.702,16561.866,-0.3171428571428571,Pre-2008
2006-11-01,183.63,1570,7.8,0,5.25,13547.935,84.731,16561.866,-0.4780952380952381,Pre-2008
2006-12-01,183.229,1649,7.6,0,5.24,13627.346,85.032,16561.866,-0.4085,Pre-2008
2007-01-01,182.718,1409,8.2,0,5.25,13651.743,85.316,16611.69,-0.3457142857142857,Pre-2008
2007-02-01,182.471,1480,8.0,0,5.26,13711.191,85.581,16611.69,-0.4405263157894736,Pre-2008
2007-03-01,182.193,1495,6.8,0,5.26,13762.811,85.894,16611.69,-0.5154545454545455,Pre-2008
2007-04-01,182.131,1490,6.5,0,5.25,13784.697,86.096,16713.314,-0.3128571428571429,Pre-2008
2007-05-01,181.885,1415,6.9,0,5.25,13791.861,86.346,16713.314,-0.1213636363636363,Pre-2008
2007-06-01,181.54,1448,7.5,0,5.25,13786.416,86.529,16713.314,0.3609523809523809,Pre-2008
2007-07-01,180.993,1354,8.0,0,5.26,13795.953,86.661,16809.587,0.0433333333333333,Pre-2008
2007-08-01,180.234,1330,8.9,0,5.02,13795.066,86.72,16809.587,0.3578260869565217,Pre-2008
2007-09-01,179.122,1183,9.9,0,4.94,13813.791,87.054,16809.587,0.5273684210526316,Pre-2008
2007-10-01,177.52900000000002,1264,9.0,0,4.76,13796.513,87.318,16915.191,0.525,Pre-2008
2007-11-01,175.16099999999997,1197,11.2,0,4.49,13787.506,87.781,16915.191,0.794,Pre-2008
2007-12-01,173.337,1037,11.4,0,4.24,13846.539,87.984,16915.191,1.031,Pre-2008
2008-01-01,171.076,1084,11.1,1,3.94,13862.766,88.206,16843.003,0.9242857142857144,Post-2008
2008-02-01,169.19,1103,9.9,1,2.98,13877.177,88.382,16843.003,1.5635,Post-2008
2008-03-01,167.902,1005,9.5,1,2.61,13893.695,88.635,16843.003,2.2265,Post-2008
2008-04-01,167.321,1013,9.3,1,2.28,13854.44,88.799,16943.291,2.3631818181818183,Post-2008
2008-05-01,167.019,973,9.3,1,1.98,14441.892,89.18,16943.291,2.1157142857142857,Post-2008
2008-06-01,166.53599999999997,1046,9.6,1,2.0,14094.894,89.827,16943.291,2.209047619047619,Post-2008
2008-07-01,165.713,923,9.8,1,2.01,13867.615,90.245,16854.295,2.352727272727273,Post-2008
2008-08-01,164.277,844,10.8,1,2.0,13780.34,90.172,16854.295,2.132857142857143,Post-2008
2008-09-01,161.912,820,11.4,1,1.81,13789.923,90.247,16854.295,2.5395238095238093,Post-2008
2008-10-01,159.162,777,12.0,1,0.97,13883.254,89.651,16485.35,3.128181818181818,Post-2008
2008-11-01,156.071,652,13.6,1,0.39,13982.019,88.593,16485.35,3.332777777777778,Post-2008
2008-12-01,152.54399999999998,560,13.6,1,0.16,13891.878,88.098,16485.35,2.3822727272727278,Post-2008
2009-01-01,149.361,490,14.3,1,0.15,13762.24,88.108,16298.262,2.388,Post-2008
2009-02-01,147.617,582,11.2,1,0.22,13603.699,88.266,16298.262,2.5747368421052634,Post-2008
2009-03-01,146.514,505,9.9,1,0.18,13570.847,88.169,16298.262,2.6036363636363635,Post-2008
2009-04-01,146.942,478,9.4,1,0.15,13601.477,88.295,16269.145,2.769047619047619,Post-2008
2009-05-01,148.16899999999998,540,8.4,1,0.18,13779.884,88.387,16269.145,3.116,Post-2008
2009-06-01,149.796,585,7.6,1,0.21,13544.781,88.912,16269.145,3.5431818181818184,Post-2008
2009-07-01,150.748,594,7.2,0,0.16,13493.206,88.922,16326.281,3.3786363636363634,Post-2008
2009-08-01,150.668,586,7.3,0,0.16,13468.487,89.18,16326.281,3.415238095238095,Post-2008
2009-09-01,149.628,585,8.4,0,0.15,13502.606,89.324,16326.281,3.2785714285714285,Post-2008
2009-10-01,148.585,534,7.4,0,0.12,13460.827,89.663,16502.754,3.313333333333333,Post-2008
2009-11-01,147.94,588,9.0,0,0.12,13494.222,89.887,16502.754,3.3505263157894736,Post-2008
2009-12-01,146.666,581,9.6,0,0.12,13551.644,89.939,16502.754,3.5354545454545456,Post-2008
2010-01-01,145.003,614,9.7,0,0.11,13610.249,90.136,16582.71,3.671578947368421,Post-2008
2010-02-01,143.054,604,8.6,0,0.13,13610.405,90.134,16582.71,3.582105263157895,Post-2008
2010-03-01,143.596,636,6.3,0,0.16,13661.363,90.261,16582.71,3.57695652173913,Post-2008
2010-04-01,145.402,687,5.3,0,0.2,13776.728,90.31,16743.162,3.684545454545455,Post-2008
2010-05-01,147.037,583,8.3,0,0.2,13885.106,90.339,16743.162,3.26,Post-2008
2010-06-01,147.703,536,7.5,0,0.18,13898.726,90.301,16743.162,3.080454545454545,Post-2008
2010-07-01,147.563,546,7.9,0,0.18,13928.888,90.378,16872.266,2.853809523809524,Post-2008
2010-08-01,146.42700000000002,599,8.9,0,0.19,13980.745,90.502,16872.266,2.5436363636363635,Post-2008
2010-09-01,144.608,594,8.2,0,0.19,13989.519,90.592,16872.266,2.4957142857142856,Post-2008
2010-10-01,143.128,543,8.7,0,0.19,14000.339,90.881,16960.864,2.4055,Post-2008
2010-11-01,141.816,545,9.5,0,0.19,14018.501,91.062,16960.864,2.62,Post-2008
2010-12-01,140.625,539,8.3,0,0.18,14104.762,91.268,16960.864,3.15,Post-2008
2011-01-01,139.032,630,8.6,0,0.17,14289.288,91.542,16920.632,3.242,Post-2008
2011-02-01,137.727,517,8.3,0,0.16,14331.186,91.797,16920.632,3.444210526315789,Post-2008
2011-03-01,137.781,600,6.4,0,0.14,14298.318,92.166,16920.632,3.313913043478261,Post-2008
2011-04-01,139.156,554,5.7,0,0.1,14275.294,92.557,17035.114,3.3965000000000005,Post-2008
2011-05-01,140.692,561,5.9,0,0.09,14260.443,92.838,17035.114,3.127619047619048,Post-2008
2011-06-01,141.944,608,5.9,0,0.09,14324.383,92.819,17035.114,2.9650000000000003,Post-2008
2011-07-01,142.342,623,6.1,0,0.07,14386.123,92.977,17031.313,2.9655,Post-2008
2011-08-01,141.784,585,6.6,0,0.1,14378.666,93.196,17031.313,2.278695652173913,Post-2008
2011-09-01,140.165,650,6.7,0,0.08,14359.76,93.327,17031.313,1.9614285714285715,Post-2008
2011-10-01,138.405,610,6.4,0,0.07,14364.71,93.329,17222.583,2.133,Post-2008
2011-11-01,136.66,711,6.9,0,0.08,14349.583,93.52,17222.583,1.9995,Post-2008
2011-12-01,135.162,694,6.3,0,0.07,14479.33,93.574,17222.583,1.9666666666666663,Post-2008
2012-01-01,134.162,723,6.3,0,0.08,14518.055,93.894,17367.01,1.932,Post-2008
2012-02-01,133.991,704,4.9,0,0.1,14591.389,94.104,17367.01,1.8755,Post-2008
2012-03-01,135.859,695,4.3,0,0.13,14635.02,94.284,17367.01,2.088636363636364,Post-2008
2012-04-01,138.466,753,4.2,0,0.14,14689.558,94.408,17444.525,1.9690476190476192,Post-2008
2012-05-01,141.043,708,4.2,0,0.16,14687.217,94.302,17444.525,1.7136363636363638,Post-2008
2012-06-01,143.166,757,4.2,0,0.16,14680.673,94.254,17444.525,1.5309523809523808,Post-2008
2012-07-01,144.281,740,4.3,0,0.16,14586.106,94.288,17469.65,1.4295238095238094,Post-2008
2012-08-01,144.704,754,4.7,0,0.13,14553.669,94.605,17469.65,1.5756521739130436,Post-2008
2012-09-01,144.355,847,4.8,0,0.14,14662.932,94.893,17469.65,1.6178947368421053,Post-2008
2012-10-01,143.962,915,5.2,0,0.16,14761.628,95.174,17489.852,1.6414285714285717,Post-2008
2012-11-01,143.953,833,5.4,0,0.16,14962.471,95.109,17489.852,1.5605,Post-2008
2012-12-01,143.86,976,5.3,0,0.16,15333.647,95.094,17489.852,1.6489999999999998,Post-2008
